1 2 15 42 8 365 1 48 75 96 2 0 2 - Начальный массив.
1 2 15 8 42 1 48 75 96 2 0 2 365 - 1 Итерация завершена.
1 2 8 15 1 42 48 75 2 0 2 96 365 - 2 Итерация завершена.
1 2 8 1 15 42 48 2 0 2 75 96 365 - 3 Итерация завершена.
1 2 1 8 15 42 2 0 2 48 75 96 365 - 4 Итерация завершена.
1 1 2 8 15 2 0 2 42 48 75 96 365 - 5 Итерация завершена.
1 1 2 8 2 0 2 15 42 48 75 96 365 - 6 Итерация завершена.
1 1 2 2 0 2 8 15 42 48 75 96 365 - 7 Итерация завершена.
1 1 2 0 2 2 8 15 42 48 75 96 365 - 8 Итерация завершена.
1 1 0 2 2 2 8 15 42 48 75 96 365 - 9 Итерация завершена.
1 0 1 2 2 2 8 15 42 48 75 96 365 - 10 Итерация завершена.
0 1 1 2 2 2 8 15 42 48 75 96 365 - 11 Итерация завершена.
0 1 1 2 2 2 8 15 42 48 75 96 365 - 12 Итерация завершена.
